,,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
36,36,0.881836362,50,3,0.567858035,4000,9,0,1,0,1,0
37,37,0.9999999,75,1,0.134078212,3400,1,0,1,0,1,0
38,38,0.363636364,26,0,0.00999001,1000,1,0,0,0,0,0
39,39,0.304490668,52,0,0.808340474,3500,10,0,2,0,0,0
40,40,0.71998531,41,1,0.539554464,5700,14,0,1,0,0,0
41,41,0.07289757,81,0,1.911665291,5388,7,0,0,0,0,0
42,42,0.469056842,31,0,0.048211004,9250,4,0,0,0,1,0
43,43,0.718705378,28,0,0.170125614,3661,4,0,0,0,1,0
44,44,0.368875933,68,0,1.911665291,1,31,0,1,0,0,0
45,45,0.000602723,70,0,0.177787036,12597.5,12,0,1,0,2,0
46,46,0.061440132,62,0,0.011167837,3133,2,0,0,0,0,0
47,47,0.140110634,31,0,0.689370485,1937,4,0,2,0,0,0
48,48,0.834048027,38,0,0.393662026,12597.5,13,0,2,0,2,0
49,49,7.96E-05,70,0,0.256339661,6900,21,1,1,0,0,0
50,50,0.818977517,73,0,1.911665291,0,9,0,1,1,0,0
51,51,0.728150491,31,0,0.824725092,3000,10,0,2,0,1,1
52,52,0.9999999,62,0,0,5388,1,0,0,0,0,0
53,53,0.028562367,51,0,0.306381499,5750,5,0,1,0,0,0
54,54,0.992015968,29,0,0.008064516,2231,1,0,0,0,0,0
55,55,0.070853769,55,0,0.073147745,12597.5,4,0,1,0,0,0
56,56,0.454971915,46,1,0.016921775,12597.5,10,0,0,0,1,0
57,57,0.401199782,64,0,0.351258937,3216,4,0,1,0,0,0
58,58,0.541108804,43,0,1.911665291,5388,3,0,1,0,2,0
59,59,0.655569945,35,0,0.261609907,5813,10,0,0,0,2,0
60,60,0.651603452,58,0,0.241135663,7783,11,0,1,0,0,0
61,61,0.027399502,69,0,0.00803428,5600,3,0,0,0,0,0
62,62,0.101155821,72,0,1.911665291,5388,12,0,2,0,0,0
63,63,0.009788862,46,0,1.051397656,3326,6,0,2,0,2,0
64,64,0.337520702,60,0,0.549877805,4500,10,0,2,0,0,0
65,65,0,67,0,0.540983607,3720,2,0,1,0,0,0
66,66,0.750873672,55,2,0.316416365,7723,17,0,1,0,1,0
67,67,0.006799093,27,1,0.681045752,764,3,0,0,0,0,0
68,68,0.004264079,31,0,0.111444278,2000,6,1,0,0,2,0
69,69,0.26948375,64,0,0.16106176,9455,13,0,1,0,3,0
70,70,0.265898391,36,0,0.262611807,8384,6,0,2,0,1,0
71,71,0.142013011,67,0,1.911665291,5388,7,0,2,0,0,0
72,72,0.827708197,56,0,0.369590815,6793,15,1,1,0,0,0
73,73,0.059668871,31,0,1.911665291,0,11,0,2,0,1,0
74,74,0.13306279,49,1,0.182881653,10257,9,0,2,0,3,1
75,75,0.234218112,36,0,0.116614347,8600,19,0,0,0,3,0
76,76,0.122295933,29,0,0.694646949,4800,5,0,1,0,0,0
77,77,0.460376317,37,0,0.074155949,4975,6,0,0,0,0,0
78,78,0.335558577,69,0,0.270448637,12597.5,14,0,2,0,1,0
79,79,0.270522569,41,0,1.911665291,1042,11,0,2,0,2,0
80,80,0.183316667,52,0,0.111131623,10833,14,0,2,0,1,0
81,81,0.074861676,66,0,0.208842479,4500,3,0,1,0,0,0
82,82,0.017258977,53,0,1.911665291,12414,13,0,1,0,2,0
83,83,0.054497069,56,0,0.492021814,4950,18,0,2,0,0,0
84,84,0.029164236,31,0,0.395031809,3300,10,0,1,0,0,0
85,85,0,58,0,0.316144874,4886,9,0,1,0,1,0
86,86,0.360509632,58,1,1.911665291,5388,8,0,2,0,0,0
87,87,0.003749688,64,0,0.004061231,3200,5,0,0,1,0,0
88,88,0.734477501,45,0,0.591477634,4716,13,0,2,0,2,1
89,89,0.080564168,60,0,0.487288997,4916,15,0,2,0,0,0
90,90,0.039387786,51,0,1.911665291,0,7,0,0,0,0,0
91,91,0.023767433,83,0,0.123797734,10500,13,0,0,0,0,0
92,92,0.784835658,52,0,1.911665291,5388,10,0,2,1,0,0
93,93,0.888822236,34,0,0.368403802,3050,4,0,0,0,1,0
94,94,0.791173628,44,0,0.51241535,3100,5,0,1,0,0,0
95,95,0.24535301,37,0,0.288417167,6500,11,1,1,1,0,0
96,96,0.542242704,48,2,1.911665291,5388,2,0,0,0,0,0
97,97,0.010531379,57,0,0.280664917,5714,6,0,1,0,0,0
98,98,0.363199686,32,0,0.480523957,2900,4,0,1,0,0,0
99,99,0.032617977,75,0,0.006799093,7500,4,0,0,0,0,0
100,100,0.013024674,61,0,1.911665291,5388,4,0,0,0,0,0
101,101,0.019387779,34,0,0.32591852,4000,9,0,1,0,0,0
102,102,0.634485057,52,0,0.138238573,2690,2,0,0,0,0,0
103,103,0.888008615,44,0,0.299246282,4908,8,0,0,0,1,0
104,104,0.003108849,57,0,0.258939285,8333,7,0,1,0,0,0
105,105,0.114830941,46,0,0.026235802,6250,6,0,0,0,3,0
106,106,0.018886792,80,0,0.003478779,10060,5,0,0,0,0,0
107,107,0.635415157,32,0,0.519493502,3000,4,0,1,0,1,0
108,108,0.9999999,62,0,0.664221287,8314,8,0,3,0,0,0
109,109,0.041257909,61,0,1.911665291,5388,11,0,4,0,0,0
110,110,0.096737158,47,0,0.009748781,8000,2,0,0,0,2,0
111,111,0.31844615,58,0,1.382629108,3833,26,0,4,0,0,0
112,112,0.186987534,52,0,0.023993145,3500,4,0,0,0,0,0
113,113,0.006541851,68,0,0.108089191,10000,10,0,2,0,1,0
114,114,0.180972181,39,1,0.384441575,3097,7,0,1,0,3,0
115,115,0.00750765,74,0,1.911665291,5388,4,0,0,0,0,0
116,116,0.06790706,46,0,0.149103029,10200,6,0,2,0,0,0
117,117,0.033461782,44,0,1.243362832,4067,5,0,2,0,1,0
118,118,0.007520592,68,0,1.911665291,5388,4,0,0,0,0,0
119,119,0.015271802,68,0,0.12290366,8168,6,0,0,0,0,0
120,120,0.51712072,31,0,0.123752495,500,3,0,0,0,0,0
121,121,0.317975796,34,0,0.297933792,4500,11,0,2,0,0,0
122,122,0.297594642,67,0,0.239507959,4145,13,0,0,0,0,0
123,123,0.444837661,58,0,0.366545247,12597.5,9,0,2,1,4,0
124,124,0.277956679,39,0,1.911665291,5388,9,0,2,0,0,0
125,125,0.003722015,58,0,0.63332301,3228,5,0,1,0,0,0
126,126,0,61,0,0.2226598,3300,14,0,1,0,0,0
127,127,0,59,0,0.218854341,12597.5,13,0,2,0,0,0
128,128,0.151912549,36,0,0.266394467,12000,22,0,2,0,0,0
129,129,0,59,0,0.351699622,4500,12,0,1,0,0,0
130,130,0.175727593,43,1,1.911665291,5388,4,0,1,0,0,0
131,131,0.011498563,77,0,0.001998002,1000,1,0,0,0,0,0
132,132,0,48,0,0.517468688,4550,7,0,2,0,0,0
133,133,0.163037489,81,0,0.086482558,2751,7,0,0,0,1,0
134,134,0.047311582,51,0,0.100920343,3150,5,0,0,0,0,0
135,135,0.083880003,53,0,0.199647533,7943,8,0,1,0,0,0
136,136,0.089478348,56,0,1.065901518,2700,11,0,1,0,2,0
137,137,0.773519223,63,0,1.129227053,4139,12,0,1,0,1,0
138,138,0.093962275,55,0,0.112051635,9450,6,0,2,0,0,0
139,139,0.21955042,54,0,0.315983758,5417,20,0,2,0,1,0
140,140,0.147996253,55,0,0.323088235,6799,5,0,1,0,0,0
141,141,0.576518559,72,0,1.911665291,5388,11,0,1,0,0,0
142,142,0.243872021,53,0,0.534027778,8639,22,0,2,0,3,0
143,143,0.362483818,27,0,1.911665291,5388,4,0,0,0,0,0
144,144,0.116676791,31,0,0.343593791,3800,7,0,1,0,0,0
145,145,0.9999999,38,0,0.43369976,5821,7,0,1,0,4,0
146,146,0.496911825,40,0,0.452363811,12500,11,0,2,0,2,0
147,147,0.130902106,48,1,0.427882174,3937,17,0,1,0,0,0
148,148,0.54699881,50,0,0.748071979,3500,9,0,2,0,3,0
149,149,0.072277109,34,0,0.025911708,2083,2,0,0,0,0,0
150,150,0,48,2,0.370876375,3000,14,0,1,0,5,0
151,151,0.175932019,57,1,0.655812625,3500,9,0,1,0,1,0
152,152,0.050789842,30,0,0.315171207,4000,4,0,1,0,1,0
153,153,0,28,0,0.144616356,3166,7,0,0,0,0,0
154,154,0.21286031,36,0,0.563752087,9583,10,0,2,0,1,0
155,155,0.012682366,60,0,0.412979783,6825,20,0,2,0,0,0
156,156,0.121557062,58,0,0.342971419,12000,23,0,2,0,4,0
157,157,0.040795358,49,0,0.801999355,3100,11,0,1,0,0,0
158,158,0.147712223,40,0,0.034847816,6800,6,0,0,0,3,0
159,159,0,63,0,1.911665291,5388,4,0,0,0,0,0
160,160,0,50,1,0.726566993,3477,5,0,1,0,1,0
161,161,0.070771911,38,0,1.911665291,5388,6,0,1,0,0,0
162,162,1.046279103,47,1,1.104301274,5416,6,0,2,0,1,1
163,163,0.323719804,63,0,0.610841267,5146,9,0,2,0,2,0
164,164,0.36459777,42,0,0.593899089,6916,7,0,3,0,0,0
165,165,0.637736406,54,2,1.911665291,1875,9,0,2,0,0,0
166,166,0.081379827,63,0,1.911665291,5388,8,0,1,0,0,0
167,167,0.020966389,29,0,1.911665291,1,3,0,1,0,2,0
168,168,0.170103002,36,0,0.138461538,7734,8,0,0,0,0,0
169,169,0.771845631,33,0,0.852429514,5000,7,0,3,0,0,0
170,170,0.05538241,72,0,0.089091313,4500,4,0,0,0,0,0
171,171,0.9999999,29,0,1.911665291,5388,2,0,0,0,0,0
172,172,0.16653274,53,0,0.543625949,7506,11,0,3,0,3,0
173,173,0.008632035,79,0,0.365151154,4200,9,0,1,0,0,0
174,174,0.13527952,58,0,0.342005076,9455,11,0,2,0,2,0
175,175,0.167571389,69,0,0.330733853,5000,10,0,1,0,1,0
176,176,0.9999999,69,0,0.005319149,2255,0,1,0,0,3,0
177,177,0.068335151,75,0,0.010927876,10065,9,0,0,0,0,0
178,178,0,41,0,0.907538526,2400,6,0,1,0,0,0
179,179,0.946963874,35,0,1.911665291,5388,6,0,1,0,1,1
180,180,0.405183973,46,0,0.667835346,7700,22,0,2,0,1,0
181,181,0.055549313,65,0,1.911665291,5388,6,0,1,0,1,0
182,182,0.676195456,55,0,0.436665827,3970,10,1,1,0,0,0
183,183,0.184986787,55,4,1.911665291,5388,11,0,1,0,0,0
184,184,0.085338293,51,0,0.477503628,6200,11,0,1,0,0,1
185,185,0,25,0,0.152896812,2916,3,0,0,1,0,1
186,186,0.786485406,44,0,0.291709578,3883,7,2,0,2,1,1
187,187,0.0112096,86,0,1.911665291,5388,3,0,0,0,0,0
188,188,0.03833451,56,0,0.438912218,5000,7,0,2,0,0,0
189,189,0.714980139,55,0,0.47090194,12597.5,12,0,2,0,3,0
190,190,0.043032042,64,0,0.332016389,6833,14,0,2,0,0,0
191,191,1.095083357,53,5,0.536703799,3500,7,1,1,2,0,0
192,192,0,49,0,1.911665291,5388,11,0,1,0,0,0
193,193,0.9999999,55,0,0.156259612,3250,5,0,0,0,4,0
194,194,0.101430135,80,1,0.016196761,5000,9,0,0,0,0,0
195,195,0.025892469,38,0,1.911665291,1,13,0,0,0,2,1
196,196,0.762158561,44,4,0.224465502,12597.5,5,0,1,0,3,0
197,197,0.231692268,40,0,0.119660709,3300,7,0,0,0,0,0
198,198,0.114869499,35,0,1.911665291,5388,6,0,0,0,0,0
199,199,0.035489848,69,0,0.308438695,3400,9,0,1,0,0,0
200,200,0.045423864,64,0,0.181311286,5200,4,0,1,0,0,0
201,201,0.311954668,61,0,0.269281443,9866,12,0,2,0,2,0
202,202,0.078738916,46,0,0.166215372,4800,6,0,1,0,4,0
203,203,0.137609462,49,0,0.429533892,7272,11,0,2,0,0,0
204,204,0.030173038,64,0,0.17386957,9000,8,0,1,0,0,0
205,205,0.021978375,40,0,0.443755624,10000,12,0,5,0,2,0
206,206,0.443696851,27,0,0.024340075,5833,4,0,0,0,0,0
207,207,0.007506793,60,0,1.911665291,5388,8,0,1,0,1,0
208,208,0.046640328,92,1,0.034326669,2650,13,0,0,0,0,0
209,209,0.292365949,50,0,0.420180551,8750,8,0,2,0,0,0
210,210,0.20808276,64,0,1.911665291,5388,14,0,2,0,0,0
211,211,0.9999999,66,1,0.358101135,1937,4,1,0,0,0,0
212,212,0.013500824,53,0,0.183464028,12597.5,8,0,1,0,2,0
213,213,0.9999999,62,0,0.04965839,6000,1,0,0,0,0,0
214,214,0.655316473,63,0,1.911665291,5388,19,0,2,0,0,1
215,215,0.9999999,50,2,1.911665291,5388,4,0,1,0,0,0
216,216,0.028113957,61,0,0.031349387,2200,12,0,0,0,0,0
217,217,0.222696207,42,0,1.911665291,1,3,0,1,0,2,0
218,218,0.593985244,63,0,0.332698534,5250,4,0,2,0,0,0
219,219,0.017508178,73,1,0.135589153,4166,12,0,1,0,0,0
220,220,0.611865678,72,0,0.04578345,7600,3,0,1,0,0,0
221,221,0.333060631,52,3,0.700153374,5215,15,0,2,1,0,0
222,222,0.009025178,45,0,0.376836435,8167,4,0,1,0,2,0
223,223,0.260271523,44,0,0.296854804,6962,11,0,1,0,0,0
224,224,0.455950788,63,1,0.701766078,6001,19,0,2,0,0,0
225,225,0.080288098,37,0,0.322446259,6000,7,0,1,0,0,0
226,226,1.953488372,38,0,0.153500141,3556,5,0,0,0,2,1
227,227,0.181557324,36,0,0.56071964,2000,7,0,1,0,1,0
228,228,0.147123525,41,0,0.436025621,6400,5,0,1,0,2,0
229,229,0.025601772,63,1,0.262773723,10000,8,0,1,0,0,0
230,230,0,76,0,0.002465931,7704,3,0,0,0,0,0
231,231,0.196372799,43,0,0.537485582,2600,10,0,1,0,0,0
232,232,0.083945242,64,0,0.588073078,2900,6,0,1,0,0,0
233,233,0.034833091,67,0,0.460246187,12597.5,9,0,2,0,0,0
234,234,0.787522133,52,0,0.353860086,4416,12,0,0,0,1,0
235,235,0,66,0,1.911665291,5388,8,0,1,0,0,0
236,236,0.125429152,55,0,0.476704659,5000,3,0,2,0,0,0
237,237,0.06037487,42,0,0.578676723,5833,17,0,2,0,2,0
238,238,0.9999999,28,0,0,5388,0,0,0,0,0,0
239,239,0.295928252,47,0,0.283765445,12597.5,6,0,2,0,1,0
240,240,0.973339258,61,1,0.209961825,5500,11,0,0,1,1,1
241,241,0.002856735,73,0,0.000285687,10500,10,0,0,0,0,0
242,242,0.877564897,58,0,1.911665291,5388,10,0,2,0,0,0
243,243,0.9999999,68,0,0.040493251,6000,0,0,0,0,0,0
244,244,0.053431552,41,0,0.20364404,9000,3,0,1,0,0,0
245,245,0.732660667,44,2,0.14041952,9200,15,0,1,0,0,0
246,246,0.084220458,42,0,0.458551158,6694,26,0,2,0,4,0
247,247,0.114561798,40,0,0.359964004,10000,20,0,2,0,2,0
248,248,0.012151003,78,0,0.008886914,4500,12,0,0,0,0,0
249,249,0.081310737,81,0,0.165566887,3333,4,0,0,0,0,0
250,250,0.09811305,49,0,0.257017809,6625,9,0,2,0,0,0
251,251,1.048210842,58,7,0.151956584,3500,12,0,0,0,0,1
252,252,0.011883886,54,0,0.092913547,9750,8,0,1,0,2,0
253,253,0.75264947,33,1,0.058322869,7166,6,0,0,0,0,0
254,254,0.112321289,53,0,0.266909775,8500,9,0,1,0,5,0
255,255,0,23,0,0,1725,1,0,0,0,0,0
256,256,0.634327056,49,1,0.123125125,12597.5,7,0,0,0,1,0
257,257,0.15576324,44,0,0.278077082,4825,4,0,1,0,2,0
258,258,0,63,0,0.007988922,9387,9,0,0,0,0,0
259,259,0.090614887,42,0,1.911665291,5388,5,0,0,0,0,0
260,260,0.034645112,65,0,0.125189985,12500,4,0,1,0,1,0
261,261,0.027446383,54,0,1.911665291,5388,6,0,1,0,0,0
262,262,0.412398622,28,0,0.037259615,4991,5,0,0,0,0,0
263,263,0.024670782,78,0,1.911665291,5388,6,0,1,0,0,0
264,264,0.046710961,66,0,1.117952819,2500,12,0,1,0,0,0
265,265,0.976531824,32,0,0.264078812,6800,6,0,0,0,2,0
266,266,0.007982621,43,1,0.009691169,12597.5,11,0,1,0,1,0
267,267,0.267541336,59,0,0.637607437,5700,13,0,2,0,1,0
268,268,0.019779326,76,0,0.267149259,2900,9,0,0,0,0,0
269,269,0.010402205,68,0,0.094140517,3600,6,0,1,0,0,0
270,270,0.9999999,61,0,0.529548989,1285,3,0,1,0,0,0
271,271,0.029816467,68,0,0.175139978,4464,12,0,1,0,1,0
272,272,0.181713732,57,0,0.130453416,11666,17,0,1,0,1,0
273,273,0.051368557,68,0,0.445277361,4668,10,0,1,0,2,0
274,274,0.29264536,57,0,0.205927884,12597.5,11,0,2,0,3,0
275,275,0.220823719,46,1,0.637749121,1705,5,0,0,0,0,1
276,276,0.008099838,69,0,0.389895596,8332,3,0,1,0,0,0
277,277,0,44,0,0.326383681,6666,4,0,2,0,1,0
278,278,0.006099797,28,0,0.139429485,3750,8,0,0,0,0,0
279,279,0.909538698,53,1,0.595653913,7500,16,0,1,0,1,0
280,280,0.941072508,40,0,0.178184282,8855,9,0,1,0,0,0
281,281,0.991667222,36,1,0.554878049,5411,10,0,2,0,1,0
282,282,0.691488418,42,0,0.272721679,12597.5,11,0,1,0,1,0
283,283,0.112855258,64,0,0.307576329,2652,6,0,1,0,0,0
284,284,0.260971034,57,0,1.911665291,5388,16,0,3,0,0,0
285,285,0.048244493,62,0,0.262879153,12597.5,11,0,1,0,1,0
286,286,0.9999999,47,0,0.092163472,9493,2,2,0,1,0,0
287,287,0.9999999,62,0,0,5480,3,0,0,0,0,0
288,288,0.074256375,49,0,0.347930414,5000,11,0,2,0,3,0
289,289,0.144878408,66,0,0.28446242,8900,9,0,1,0,0,0
290,290,0.191001932,54,0,0.705627706,5081,10,0,2,0,2,0
291,291,0.219382879,56,1,1.911665291,5388,9,0,1,0,1,0
292,292,0.679813777,83,0,0.689589756,4216,6,0,2,0,0,0
293,293,2340,45,0,0.339332853,8333,7,0,2,0,2,0
294,294,0.371875401,29,0,0.53628857,2300,9,0,1,0,3,0
295,295,0.025856408,67,0,0.083799311,12597.5,13,0,1,0,0,0
296,296,0.547887778,29,1,0.24651504,2725,5,0,0,1,0,0
297,297,0.271668778,46,1,0.282830201,12597.5,14,0,2,0,4,0
298,298,0.085152475,25,0,1.911665291,0,5,0,0,0,0,0
299,299,0.897203427,68,0,0.787803049,4000,8,0,2,0,0,0
300,300,0.25889775,33,0,0.537441339,4900,3,0,1,0,1,0
301,301,0,55,1,0.03988553,5590,8,0,0,0,0,0
302,302,0.035940506,46,0,0.271186441,6666,10,0,1,0,3,0
303,303,0.9999999,66,0,0.046633911,11600,2,0,0,0,1,0
304,304,0.465238835,66,0,0.391427671,3172,8,1,1,0,0,0
305,305,0.865423051,48,0,0.075848303,500,1,0,0,0,0,0
306,306,0.696411671,52,0,0.408871921,11000,11,0,1,0,4,0
307,307,0.544497658,32,1,0.166766647,6667,5,1,0,0,0,0
308,308,0.081238383,51,0,0.066830086,7750,14,0,0,0,2,0
309,309,0.948762809,27,0,0.144948404,4166,5,0,0,0,0,0
310,310,0,32,2,0.463610776,7460,10,0,1,1,0,0
311,311,0.016598893,30,0,0.136575616,1500,5,0,0,0,0,0
312,312,0.063329564,37,0,0.329935275,6179,6,0,1,0,3,0
313,313,0.093638481,49,0,0.042836573,8333,10,0,0,0,1,0
314,314,0,37,0,0.184027338,7900,5,0,1,0,5,0
315,315,0.730271957,36,1,0.632794037,5500,10,0,2,0,0,0
316,316,0.426371142,62,1,0.406053995,3666,15,0,1,0,0,0
317,317,0.948978489,57,0,0.043744532,8000,3,0,0,0,1,0
318,318,0,59,0,0,4200,7,0,0,0,1,0
319,319,1.00264667,38,2,0.472542946,3550,8,1,0,1,4,0
320,320,0.0164781,92,0,1.911665291,5388,3,0,0,0,0,0
321,321,0.042606843,58,0,1.911665291,5388,13,0,3,0,0,0
322,322,0.022890604,37,0,0.288477299,6100,16,0,1,0,0,0
323,323,0.283821988,63,0,0.750200803,1244,9,0,0,0,0,0
324,324,0.319779462,32,0,1.247340213,12500,12,0,8,0,0,0
325,325,0.155240525,52,0,0.483518065,6946,15,0,2,0,1,0
326,326,0.013115183,43,0,1.911665291,0,21,0,2,0,2,0
327,327,0.067259209,29,1,0.168340507,2090,3,0,0,0,0,0
328,328,0.284236153,45,1,0.318890815,7500,9,0,1,0,2,0
329,329,0.727560021,38,0,0.712458746,2423,6,0,1,0,1,0
330,330,0.687779097,62,0,0.249471161,7090,15,0,0,0,0,0
331,331,0.9999999,29,0,0,5388,0,0,0,0,0,0
332,332,0.033708851,41,0,0.408706353,6500,9,0,1,0,2,0
333,333,0,29,0,0.193935355,3000,7,0,0,0,0,0
334,334,0.03719769,47,0,0.03975841,12597.5,11,0,1,0,3,1
335,335,0,55,1,0.388320836,4400,4,0,2,0,1,0
336,336,0.053589282,87,0,0.001534331,5213,4,0,0,0,0,0
337,337,0.100773109,41,0,0.199761673,9230,7,0,1,0,0,0
338,338,0,61,0,1.394967177,913,11,0,2,0,0,0
339,339,0.399946674,28,0,0.189702574,4000,6,0,0,0,1,0
340,340,0.052653171,43,0,0.572292191,1984,9,0,0,0,4,0
341,341,0.072318616,71,0,0.426412462,4300,8,0,2,0,1,0
342,342,0.203959597,46,0,0.072914726,12597.5,6,0,1,0,2,0
343,343,0.9999999,30,0,0.090341011,5600,1,0,0,0,0,0
344,344,0.880370887,43,0,0.461323764,7523,6,0,1,0,1,1
345,345,0.429246267,59,0,0.381254316,12597.5,17,0,1,0,1,0
346,346,0,47,0,1.911665291,5388,2,0,1,0,1,0
347,347,0.049529205,61,0,1.911665291,5388,15,0,0,0,0,0
348,348,0.360907571,72,0,0.356679286,3697,6,0,1,0,0,0
349,349,0.335737457,50,0,0.45722203,5773,9,0,1,0,1,0
350,350,0.635720859,68,1,0.218071277,12597.5,27,0,3,0,0,1
351,351,0,58,0,1.911665291,5388,20,0,5,0,0,0
352,352,0.507972665,69,2,0.193935355,3000,10,2,0,2,0,0
353,353,0.245841666,71,0,1.911665291,5388,5,0,0,0,0,0
354,354,0.953343701,48,2,1.911665291,5388,5,1,2,2,0,1
355,355,0.9999999,37,0,0.184625639,4500,2,0,0,0,1,0
356,356,0.118853837,50,0,1.911665291,5388,7,0,1,0,2,0
357,357,0.630073985,38,0,0.563328034,1886,3,0,1,0,0,0
358,358,0.9999999,35,0,1.911665291,5388,1,0,1,0,0,0
359,359,0.028423247,59,0,0.033982276,12597.5,12,0,1,0,0,0
360,360,0.143427862,67,0,0.119463561,5666,9,0,0,0,0,0
361,361,0.186682782,30,0,0.698120752,2500,7,0,2,0,2,0
362,362,0.496388581,56,0,0.170164956,12597.5,12,0,1,0,1,0
363,363,0.457526639,51,0,0.333583302,8000,16,0,2,0,2,0
364,364,0.728218119,40,1,1.911665291,5388,10,0,2,0,0,0
365,365,0.947264856,28,0,0.467171717,1187,4,0,0,0,0,0
366,366,0.013916922,54,0,0.017655818,4700,7,0,0,0,2,0
367,367,0.066347297,46,1,1.911665291,5388,6,0,2,0,0,0
368,368,0.502958087,57,0,1.911665291,5388,5,0,2,0,0,0
369,369,1.047495906,35,2,0.314566116,3871,8,0,2,1,3,0
370,370,0.012586354,79,0,0.009596162,2500,11,0,0,0,0,0
371,371,0.543445655,46,0,0.267146571,5000,6,0,2,0,3,0
372,372,0.026580302,79,0,1.911665291,5388,7,0,1,0,0,0
373,373,0.082317351,64,0,0.214426305,8636,29,0,1,0,1,0
374,374,0.292541492,74,0,0.164917541,2000,3,0,0,0,0,0
375,375,0.024240472,64,0,0.101514142,10500,20,0,1,0,0,0
376,376,0.047650102,63,0,0.387956894,9000,6,0,2,0,0,0
377,377,0.739146488,63,1,0.285156885,6150,12,0,0,0,1,1
378,378,0.186890655,54,0,0.655589124,3640,7,0,1,0,1,0
379,379,0.007501937,63,0,0.278226307,8050,13,0,2,0,3,0
380,380,0.522314625,45,0,0.290229092,12597.5,13,0,1,0,3,0
381,381,0.9999999,22,0,1.911665291,5388,0,0,0,0,0,0
382,382,0.571604587,66,0,1.911665291,5388,12,0,0,0,0,0
383,383,0.903231566,57,0,0.13080895,5228,10,0,0,0,0,0
384,384,0.017043518,43,0,0.10821382,2300,6,0,0,0,1,0
385,385,0.060733396,61,0,0.008549573,12597.5,8,0,0,0,0,0
386,386,0.000582648,54,0,1.911665291,5388,13,0,1,0,1,0
387,387,0.003894686,90,0,1.911665291,5388,11,0,1,0,0,0
388,388,0.250008365,60,0,1.911665291,7550,26,0,0,0,0,0
389,389,0.466334165,34,2,0.007495315,3201,3,0,0,0,0,0
390,390,0.114588541,38,0,1.911665291,5388,2,0,0,0,0,0
391,391,0.9999999,60,0,0,4200,0,0,0,0,0,0
392,392,0.267905614,76,0,0.285452994,8200,12,0,0,0,0,0
